customer_id,signup_date,acquisition_channel,acquisition_cost,region,initial_plan,final_status,churned_at_least_once,first_churn_date,reactivated,reactivation_date
CUST1008,2020-10-09,Email Campaign,61.51,MENA,Pro,Active,No,,No,
CUST1001,2020-11-04,Paid Search,199.87,North America,Basic,Churned,Yes,2022-11-04,No,
CUST1014,2020-11-06,Referral,11.3,North America,Basic,Active,No,,No,
CUST1013,2020-11-09,Social Media,96.05,MENA,Basic,Churned,Yes,2022-12-09,No,
CUST1028,2020-11-10,Email Campaign,55.64,Europe,Basic,Active,Yes,2022-06-10,Yes,2025-02-10
CUST1002,2020-12-04,Social Media,86.54,Asia Pacific,Basic,Churned,Yes,2023-01-04,No,
CUST1020,2020-12-19,Organic Search,5.88,Europe,Basic,Churned,Yes,2022-03-19,No,
CUST1068,2021-01-03,Social Media,115.09,Asia Pacific,Basic,Churned,Yes,2025-09-03,No,
CUST1073,2021-01-12,Paid Search,178.57,North America,Basic,Active,No,,No,
CUST1064,2021-01-22,Email Campaign,32.06,North America,Pro,Active,No,,No,
CUST1039,2021-01-28,Organic Search,6.72,Europe,Basic,Active,No,,No,
CUST1060,2021-02-01,Referral,54.63,Latin America,Enterprise,Active,No,,No,
CUST1042,2021-02-04,Social Media,94.28,Europe,Basic,Churned,Yes,2023-02-04,No,
CUST1062,2021-02-08,Organic Search,18.14,North America,Pro,Churned,Yes,2021-03-08,No,
CUST1061,2021-02-18,Paid Search,160.83,North America,Enterprise,Active,No,,No,
CUST1056,2021-02-19,Paid Search,217.25,Europe,Pro,Active,No,,No,
CUST1032,2021-02-24,Referral,67.78,North America,Pro,Active,No,,No,
CUST1048,2021-02-25,Email Campaign,65.86,North America,Basic,Active,Yes,2025-02-25,Yes,2025-07-25
CUST1055,2021-03-03,Referral,55.46,MENA,Basic,Churned,Yes,2023-05-03,No,
CUST1033,2021-03-05,Social Media,89.66,Latin America,Basic,Churned,Yes,2025-06-05,No,
CUST1052,2021-03-07,Organic Search,16.15,Latin America,Pro,Churned,Yes,2022-02-07,No,
CUST1065,2021-03-09,Paid Search,212.5,North America,Pro,Active,No,,No,
CUST1072,2021-03-14,Paid Search,241.52,North America,Enterprise,Churned,Yes,2026-05-14,No,
CUST1038,2021-04-01,Paid Search,101.61,MENA,Basic,Churned,Yes,2024-12-01,No,
CUST1037,2021-04-03,Organic Search,22.09,Europe,Basic,Churned,Yes,2023-07-03,No,
CUST1045,2021-04-18,Organic Search,5.21,Europe,Basic,Active,No,,No,
CUST1058,2021-04-22,Social Media,82.27,North America,Basic,Active,No,,No,
CUST1046,2021-04-28,Partnership,98.4,Europe,Enterprise,Active,No,,No,
CUST1049,2021-04-28,Organic Search,23.44,North America,Basic,Active,No,,No,
CUST1075,2021-04-28,Paid Search,75.21,Asia Pacific,Basic,Active,No,,No,
CUST1031,2021-05-08,Paid Search,155.93,Asia Pacific,Enterprise,Active,No,,No,
CUST1066,2021-05-10,Social Media,123.91,MENA,Basic,Churned,Yes,2022-05-10,No,
CUST1069,2021-06-25,Paid Search,194.47,Latin America,Basic,Active,No,,No,
CUST1050,2021-07-09,Partnership,67.11,Asia Pacific,Basic,Churned,Yes,2021-11-09,No,
CUST1057,2021-07-22,Referral,27.41,Europe,Enterprise,Active,No,,No,
CUST1044,2021-07-24,Organic Search,16.99,Asia Pacific,Basic,Churned,Yes,2026-07-24,No,
CUST1040,2021-08-07,Referral,42.95,MENA,Enterprise,Churned,Yes,2023-02-07,No,
CUST1070,2021-08-18,Social Media,73.87,Europe,Basic,Active,No,,No,
CUST1053,2021-09-02,Social Media,73.08,North America,Pro,Churned,Yes,2021-10-02,No,
CUST1047,2021-09-04,Paid Search,161.57,Latin America,Pro,Churned,Yes,2025-02-04,No,
CUST1034,2021-09-28,Social Media,63.56,Latin America,Enterprise,Active,No,,No,
CUST1054,2021-09-28,Referral,49.18,North America,Pro,Churned,Yes,2022-08-28,No,
CUST1074,2021-09-28,Organic Search,35.65,MENA,Basic,Churned,Yes,2025-10-28,No,
CUST1041,2021-10-16,Paid Search,209.54,Europe,Basic,Churned,Yes,2025-09-16,No,
CUST1036,2021-11-12,Organic Search,7.79,Europe,Basic,Churned,Yes,2026-05-12,No,
CUST1059,2021-11-21,Organic Search,23.31,North America,Pro,Churned,Yes,2025-10-21,No,
CUST1067,2021-11-28,Organic Search,19.28,Europe,Enterprise,Churned,Yes,2024-08-28,No,
CUST1043,2021-12-02,Social Media,87.11,Latin America,Basic,Active,No,,No,
CUST1071,2021-12-05,Referral,45.42,Asia Pacific,Pro,Active,Yes,2022-05-05,Yes,2023-06-05
CUST1063,2021-12-10,Social Media,62.34,Latin America,Pro,Churned,Yes,2024-08-10,No,
CUST1035,2021-12-23,Paid Search,212.9,North America,Enterprise,Active,No,,No,
CUST1051,2021-12-24,Partnership,129.72,Europe,Pro,Churned,Yes,2023-10-24,No,
CUST1122,2022-01-12,Paid Search,143.62,North America,Enterprise,Churned,Yes,2023-05-12,No,
CUST1123,2022-01-25,Paid Search,236.11,North America,Pro,Churned,Yes,2022-07-25,No,
CUST1081,2022-02-25,Organic Search,17.8,MENA,Basic,Churned,Yes,2022-09-25,No,
CUST1101,2022-02-25,Organic Search,5.85,North America,Enterprise,Churned,Yes,2022-09-25,No,
CUST1083,2022-03-19,Partnership,164.34,North America,Basic,Churned,Yes,2025-08-19,No,
CUST1095,2022-03-22,Paid Search,164.32,Europe,Pro,Churned,Yes,2025-05-22,No,
CUST1110,2022-03-23,Paid Search,177.02,Europe,Basic,Active,No,,No,
CUST1106,2022-03-24,Email Campaign,56.06,Europe,Pro,Active,No,,No,
CUST1134,2022-03-24,Referral,47.1,MENA,Pro,Churned,Yes,2023-03-24,No,
CUST1078,2022-03-26,Social Media,82.52,Europe,Basic,Active,Yes,2022-09-26,Yes,2025-07-26
CUST1100,2022-04-05,Social Media,84.14,North America,Pro,Churned,Yes,2025-03-05,No,
CUST1080,2022-04-08,Paid Search,100.5,North America,Basic,Churned,Yes,2025-02-08,No,
CUST1125,2022-04-15,Social Media,104.67,Asia Pacific,Basic,Churned,Yes,2023-02-15,No,
CUST1115,2022-04-16,Paid Search,172.31,Europe,Basic,Churned,Yes,2025-04-16,No,
CUST1094,2022-04-17,Referral,35.09,Latin America,Pro,Churned,Yes,2022-10-17,No,
CUST1097,2022-04-26,Paid Search,191.84,North America,Basic,Churned,Yes,2025-10-26,No,
CUST1127,2022-05-04,Referral,25.14,Latin America,Pro,Churned,Yes,2022-07-04,No,
CUST1108,2022-05-15,Paid Search,186.98,North America,Basic,Churned,Yes,2025-06-15,No,
CUST1089,2022-05-17,Organic Search,14.7,Europe,Basic,Active,Yes,2024-12-17,Yes,2025-10-17
CUST1090,2022-05-18,Paid Search,200.53,Europe,Enterprise,Churned,Yes,2026-06-18,No,
CUST1132,2022-06-01,Email Campaign,51.03,Asia Pacific,Basic,Churned,Yes,2023-04-01,No,
CUST1096,2022-06-03,Email Campaign,28.05,Asia Pacific,Pro,Active,No,,No,
CUST1120,2022-06-11,Social Media,108.8,Europe,Pro,Active,No,,No,
CUST1109,2022-06-18,Paid Search,190.3,North America,Basic,Churned,Yes,2022-09-18,No,
CUST1131,2022-06-18,Organic Search,4.49,Europe,Pro,Active,No,,No,
CUST1133,2022-06-21,Email Campaign,34.07,Europe,Basic,Churned,Yes,2022-09-21,No,
CUST1116,2022-06-22,Social Media,97.54,Europe,Basic,Active,No,,No,
CUST1076,2022-07-01,Paid Search,212.88,Latin America,Pro,Active,No,,No,
CUST1121,2022-07-09,Email Campaign,61.87,Europe,Pro,Active,Yes,2024-02-09,Yes,2024-06-09
CUST1084,2022-07-12,Social Media,77.04,North America,Pro,Active,No,,No,
CUST1128,2022-07-13,Partnership,103.01,North America,Pro,Churned,Yes,2025-04-13,No,
CUST1114,2022-07-18,Social Media,151.58,Europe,Pro,Churned,Yes,2022-08-18,No,
CUST1077,2022-07-26,Social Media,92.18,MENA,Basic,Churned,Yes,2024-03-26,No,
CUST1113,2022-08-01,Partnership,121.81,North America,Basic,Active,No,,No,
CUST1103,2022-08-05,Email Campaign,44.86,MENA,Enterprise,Churned,Yes,2026-05-05,No,
CUST1117,2022-08-05,Partnership,118.96,Europe,Enterprise,Active,No,,No,
CUST1119,2022-08-06,Paid Search,225.71,Europe,Basic,Churned,Yes,2024-10-06,No,
CUST1079,2022-08-08,Paid Search,183.67,Latin America,Basic,Churned,Yes,2025-07-08,No,
CUST1111,2022-08-14,Paid Search,103.25,Asia Pacific,Basic,Active,No,,No,
CUST1098,2022-08-20,Email Campaign,53.92,North America,Basic,Churned,Yes,2023-10-20,No,
CUST1085,2022-09-04,Organic Search,11.92,Europe,Basic,Churned,Yes,2025-07-04,No,
CUST1082,2022-09-11,Partnership,130.71,North America,Enterprise,Active,No,,No,
CUST1102,2022-09-15,Paid Search,163.17,North America,Pro,Churned,Yes,2023-04-15,No,
CUST1135,2022-09-25,Referral,26.21,Europe,Pro,Churned,Yes,2023-01-25,No,
CUST1092,2022-09-27,Paid Search,218.75,North America,Basic,Active,No,,No,
CUST1124,2022-10-05,Paid Search,123.93,Europe,Basic,Active,Yes,2024-05-05,Yes,2024-12-05
CUST1104,2022-10-11,Partnership,95.93,Asia Pacific,Pro,Churned,Yes,2023-04-11,No,
CUST1118,2022-10-19,Social Media,60.78,North America,Basic,Churned,Yes,2023-08-19,No,
CUST1093,2022-10-20,Social Media,72.45,Europe,Basic,Active,No,,No,
CUST1112,2022-10-23,Paid Search,178.94,Asia Pacific,Pro,Churned,Yes,2025-07-23,No,
CUST1126,2022-10-24,Social Media,144.76,Asia Pacific,Basic,Active,No,,No,
CUST1130,2022-10-26,Paid Search,159.86,Latin America,Pro,Churned,Yes,2024-03-26,No,
CUST1129,2022-11-08,Paid Search,183.99,Asia Pacific,Enterprise,Active,No,,No,
CUST1107,2022-11-09,Social Media,137.15,Europe,Pro,Active,No,,No,
CUST1088,2022-11-11,Social Media,98.22,MENA,Basic,Active,No,,No,
CUST1099,2022-11-19,Paid Search,180.2,MENA,Basic,Active,No,,No,
CUST1091,2022-11-24,Email Campaign,51.46,MENA,Basic,Active,No,,No,
CUST1086,2022-12-14,Paid Search,159.93,Latin America,Pro,Active,No,,No,
CUST1105,2022-12-17,Organic Search,18.39,Latin America,Basic,Active,No,,No,
CUST1087,2022-12-24,Social Media,112.89,North America,Basic,Active,No,,No,
CUST1153,2023-01-09,Partnership,99.6,Europe,Pro,Churned,Yes,2024-01-09,No,
CUST1161,2023-01-14,Referral,25.38,Europe,Basic,Active,Yes,,Yes,
CUST1182,2023-01-18,Organic Search,11.43,North America,Pro,Active,No,,No,
CUST1152,2023-01-19,Organic Search,23.46,Europe,Basic,Active,No,,No,
CUST1183,2023-02-15,Partnership,87.87,MENA,Basic,Churned,Yes,2026-06-15,No,
CUST1156,2023-02-18,Social Media,72.14,MENA,Pro,Active,No,,No,
CUST1146,2023-02-24,Paid Search,211.27,North America,Pro,Churned,Yes,2023-03-24,No,
CUST1202,2023-02-25,Social Media,104.02,Asia Pacific,Basic,Churned,Yes,2023-05-25,No,
CUST1197,2023-03-03,Referral,26.74,Latin America,Basic,Churned,Yes,2023-08-03,No,
CUST1180,2023-03-10,Organic Search,47.2,MENA,Basic,Churned,Yes,2024-02-10,No,
CUST1194,2023-03-16,Partnership,82.63,North America,Enterprise,Active,No,,No,
CUST1155,2023-03-26,Referral,44.4,North America,Enterprise,Active,No,,No,
CUST1166,2023-03-26,Organic Search,24.13,MENA,Pro,Active,Yes,2026-02-26,Yes,2026-04-26
CUST1149,2023-04-10,Paid Search,200.88,North America,Basic,Active,Yes,2024-04-10,Yes,2025-06-10
CUST1162,2023-04-10,Social Media,109.68,MENA,Basic,Churned,Yes,2026-02-10,No,
CUST1143,2023-04-13,Social Media,49.81,North America,Pro,Active,No,,No,
CUST1207,2023-04-15,Social Media,102.88,Europe,Pro,Churned,Yes,2023-10-15,No,
CUST1191,2023-04-23,Paid Search,162.14,Europe,Enterprise,Active,No,,No,
CUST1157,2023-04-25,Referral,67.99,Europe,Basic,Active,No,,No,
CUST1136,2023-05-11,Email Campaign,73.25,Asia Pacific,Basic,Churned,Yes,2024-10-11,No,
CUST1204,2023-05-12,Organic Search,30.54,North America,Pro,Active,No,,No,
CUST1167,2023-05-15,Paid Search,212.88,MENA,Pro,Active,No,,No,
CUST1168,2023-05-17,Referral,68.45,Europe,Pro,Churned,Yes,2024-11-17,No,
CUST1140,2023-05-18,Paid Search,130.77,Latin America,Basic,Active,No,,No,
CUST1188,2023-05-24,Organic Search,19.27,Europe,Enterprise,Active,Yes,2025-01-24,Yes,2025-09-24
CUST1138,2023-06-01,Referral,35.17,North America,Basic,Churned,Yes,2023-11-01,No,
CUST1145,2023-06-12,Social Media,96.5,North America,Basic,Active,No,,No,
CUST1174,2023-06-14,Organic Search,23.41,MENA,Enterprise,Active,No,,No,
CUST1175,2023-06-14,Social Media,96.92,North America,Enterprise,Churned,Yes,2024-02-14,No,
CUST1209,2023-06-19,Organic Search,25.15,Latin America,Pro,Active,Yes,2025-08-19,Yes,2025-10-19
CUST1139,2023-06-26,Organic Search,28.14,North America,Pro,Active,No,,No,
CUST1195,2023-06-28,Paid Search,186.93,Asia Pacific,Basic,Churned,Yes,2023-12-28,No,
CUST1192,2023-07-02,Organic Search,28.56,Europe,Enterprise,Active,No,,No,
CUST1187,2023-07-11,Partnership,134.2,Europe,Pro,Active,No,,No,
CUST1193,2023-07-13,Partnership,126.42,Asia Pacific,Pro,Active,No,,No,
CUST1154,2023-07-16,Paid Search,189.29,MENA,Basic,Churned,Yes,2023-08-16,No,
CUST1206,2023-07-20,Social Media,66.55,Europe,Pro,Churned,Yes,2023-10-20,No,
CUST1169,2023-07-24,Organic Search,17.55,North America,Basic,Churned,Yes,2026-06-24,No,
CUST1177,2023-07-28,Referral,40.2,Latin America,Pro,Active,No,,No,
CUST1196,2023-08-01,Social Media,99.63,Europe,Pro,Active,Yes,2025-07-01,Yes,2026-02-01
CUST1137,2023-08-08,Social Media,70.42,Europe,Pro,Churned,Yes,2023-11-08,No,
CUST1185,2023-08-08,Referral,36.65,North America,Basic,Active,No,,No,
CUST1208,2023-08-10,Social Media,102.84,North America,Basic,Active,No,,No,
CUST1172,2023-08-17,Social Media,69.6,Latin America,Basic,Active,No,,No,
CUST1144,2023-08-18,Referral,42.77,Europe,Pro,Active,No,,No,
CUST1179,2023-08-21,Organic Search,17.35,North America,Basic,Churned,Yes,2024-03-21,No,
CUST1189,2023-08-28,Paid Search,146.13,Europe,Basic,Active,No,,No,
CUST1200,2023-08-28,Referral,22.86,MENA,Basic,Active,No,,No,
CUST1210,2023-08-28,Organic Search,58.53,Latin America,Enterprise,Active,No,,No,
CUST1176,2023-09-02,Referral,52.41,North America,Basic,Active,No,,No,
CUST1150,2023-09-05,Organic Search,22.97,Latin America,Pro,Active,No,,No,
CUST1199,2023-09-13,Partnership,121.75,MENA,Enterprise,Active,No,,No,
CUST1178,2023-09-15,Organic Search,34.54,North America,Basic,Churned,Yes,2026-08-15,No,
CUST1190,2023-09-25,Referral,17.28,Europe,Basic,Active,No,,No,
CUST1158,2023-10-14,Organic Search,24.74,MENA,Pro,Active,Yes,2025-01-14,Yes,2025-04-14
CUST1173,2023-10-14,Social Media,88.07,Europe,Basic,Churned,Yes,2024-11-14,No,
CUST1186,2023-10-17,Social Media,107.85,North America,Basic,Active,Yes,2023-12-17,Yes,2024-03-17
CUST1205,2023-10-22,Social Media,55.56,North America,Basic,Active,No,,No,
CUST1148,2023-10-25,Referral,20.19,North America,Basic,Active,No,,No,
CUST1160,2023-11-03,Paid Search,206.26,North America,Basic,Churned,Yes,2024-11-03,No,
CUST1165,2023-11-05,Email Campaign,64.45,Asia Pacific,Basic,Churned,Yes,2024-04-05,No,
CUST1163,2023-11-08,Partnership,154.76,Asia Pacific,Pro,Active,No,,No,
CUST1201,2023-11-10,Partnership,130.73,MENA,Basic,Churned,Yes,2024-01-10,No,
CUST1181,2023-11-20,Social Media,105.64,MENA,Basic,Active,No,,No,
CUST1142,2023-11-23,Referral,59.61,Asia Pacific,Basic,Churned,Yes,2024-02-23,No,
CUST1164,2023-11-26,Partnership,95.38,Europe,Pro,Active,No,,No,
CUST1170,2023-11-27,Email Campaign,38.69,Europe,Basic,Active,No,,No,
CUST1171,2023-11-27,Organic Search,11.1,North America,Pro,Churned,Yes,2024-02-27,No,
CUST1159,2023-12-04,Partnership,84.26,North America,Basic,Churned,Yes,2024-03-04,No,
CUST1151,2023-12-05,Social Media,96.26,Asia Pacific,Basic,Churned,Yes,2024-10-05,No,
CUST1147,2023-12-06,Paid Search,130.52,MENA,Basic,Active,No,,No,
CUST1184,2023-12-10,Referral,47.24,North America,Pro,Churned,Yes,2024-07-10,No,
CUST1203,2023-12-10,Email Campaign,66.25,North America,Pro,Churned,Yes,2025-06-10,No,
CUST1198,2023-12-13,Social Media,93.84,Asia Pacific,Enterprise,Active,No,,No,
CUST1141,2023-12-14,Referral,43.41,Asia Pacific,Pro,Active,Yes,2025-05-14,Yes,2025-12-14
CUST1238,2024-01-02,Social Media,94.66,North America,Basic,Active,No,,No,
CUST1244,2024-01-06,Organic Search,28.66,North America,Basic,Churned,Yes,2024-02-06,No,
CUST1230,2024-01-10,Partnership,140.39,North America,Basic,Active,No,,No,
CUST1213,2024-01-19,Email Campaign,64.31,Asia Pacific,Enterprise,Active,No,,No,
CUST1271,2024-02-02,Paid Search,237.65,Asia Pacific,Basic,Active,No,,No,
CUST1211,2024-02-08,Organic Search,25.71,Europe,Basic,Churned,Yes,2024-10-08,No,
CUST1284,2024-02-08,Organic Search,7.62,Europe,Basic,Active,Yes,2024-10-08,Yes,2026-04-08
CUST1272,2024-02-09,Organic Search,5.64,Europe,Pro,Churned,Yes,2025-01-09,No,
CUST1274,2024-02-10,Social Media,90.26,Europe,Pro,Churned,Yes,2025-01-10,No,
CUST1250,2024-02-11,Social Media,100.12,North America,Basic,Active,No,,No,
CUST1225,2024-02-15,Organic Search,15.28,MENA,Basic,Churned,Yes,2025-03-15,No,
CUST1295,2024-02-20,Referral,45.36,Europe,Pro,Active,Yes,2025-08-20,Yes,2026-04-20
CUST1245,2024-02-24,Paid Search,131.99,Europe,Basic,Churned,Yes,2025-01-24,No,
CUST1298,2024-02-26,Email Campaign,54.61,North America,Pro,Active,No,,No,
CUST1243,2024-03-01,Organic Search,25.05,Asia Pacific,Pro,Active,No,,No,
CUST1278,2024-03-13,Referral,31.0,North America,Pro,Active,Yes,2024-07-13,Yes,2025-03-13
CUST1217,2024-03-21,Paid Search,149.09,MENA,Basic,Active,No,,No,
CUST1262,2024-03-22,Referral,39.11,Asia Pacific,Basic,Churned,Yes,2024-10-22,No,
CUST1288,2024-04-04,Paid Search,203.53,North America,Pro,Churned,Yes,2025-01-04,No,
CUST1276,2024-04-10,Partnership,133.86,Asia Pacific,Pro,Churned,Yes,2025-02-10,No,
CUST1215,2024-04-20,Email Campaign,45.27,North America,Basic,Churned,Yes,2026-06-20,No,
CUST1240,2024-04-27,Email Campaign,62.79,North America,Basic,Churned,Yes,2026-01-27,No,
CUST1223,2024-04-28,Social Media,107.16,MENA,Basic,Active,No,,No,
CUST1235,2024-04-28,Organic Search,41.44,Latin America,Basic,Active,No,,No,
CUST1234,2024-05-02,Social Media,73.71,North America,Basic,Churned,Yes,2024-06-02,No,
CUST1275,2024-05-02,Paid Search,140.74,Latin America,Basic,Active,No,,No,
CUST1219,2024-05-11,Social Media,77.87,North America,Basic,Active,No,,No,
CUST1277,2024-05-11,Paid Search,187.96,Europe,Basic,Active,No,,No,
CUST1301,2024-05-13,Organic Search,11.71,North America,Pro,Churned,Yes,2025-09-13,No,
CUST1293,2024-05-19,Paid Search,156.43,Europe,Basic,Churned,Yes,2024-10-19,No,
CUST1261,2024-05-20,Organic Search,10.73,North America,Pro,Active,No,,No,
CUST1216,2024-05-22,Social Media,108.97,Asia Pacific,Pro,Active,No,,No,
CUST1285,2024-05-24,Organic Search,41.33,North America,Basic,Active,Yes,2024-09-24,Yes,2025-03-24
CUST1221,2024-05-27,Partnership,189.44,Latin America,Basic,Active,No,,No,
CUST1292,2024-06-05,Organic Search,15.07,Europe,Pro,Active,No,,No,
CUST1270,2024-06-10,Social Media,93.27,Asia Pacific,Pro,Active,No,,No,
CUST1305,2024-06-10,Partnership,119.37,MENA,Basic,Active,No,,No,
CUST1267,2024-06-12,Paid Search,245.3,Asia Pacific,Pro,Active,No,,No,
CUST1287,2024-06-12,Social Media,86.21,Asia Pacific,Pro,Active,No,,No,
CUST1297,2024-06-20,Referral,53.49,North America,Basic,Churned,Yes,2026-06-20,No,
CUST1222,2024-06-26,Paid Search,105.31,Latin America,Basic,Active,No,,No,
CUST1255,2024-06-27,Referral,17.21,Europe,Basic,Active,No,,No,
CUST1280,2024-07-01,Referral,34.22,North America,Basic,Churned,Yes,2026-01-01,No,
CUST1282,2024-07-01,Partnership,139.86,North America,Enterprise,Active,No,,No,
CUST1268,2024-07-03,Paid Search,122.79,MENA,Basic,Active,No,,No,
CUST1273,2024-07-09,Paid Search,226.53,Europe,Basic,Active,No,,No,
CUST1303,2024-07-10,Organic Search,27.47,Asia Pacific,Enterprise,Churned,Yes,2025-08-10,No,
CUST1256,2024-07-11,Social Media,77.89,Europe,Basic,Active,No,,No,
CUST1281,2024-07-19,Organic Search,21.14,MENA,Basic,Churned,Yes,2025-12-19,No,
CUST1233,2024-07-21,Paid Search,181.82,Europe,Basic,Active,No,,No,
CUST1226,2024-07-27,Social Media,117.22,Europe,Pro,Active,No,,No,
CUST1264,2024-07-28,Referral,24.63,Asia Pacific,Pro,Active,No,,No,
CUST1227,2024-08-01,Social Media,91.61,Latin America,Basic,Active,Yes,2025-03-01,Yes,2025-08-01
CUST1218,2024-08-02,Referral,36.45,MENA,Basic,Churned,Yes,2025-03-02,No,
CUST1294,2024-08-02,Paid Search,213.98,Asia Pacific,Basic,Active,No,,No,
CUST1237,2024-08-03,Social Media,39.37,MENA,Pro,Active,No,,No,
CUST1257,2024-08-03,Paid Search,230.68,North America,Basic,Active,No,,No,
CUST1300,2024-08-17,Referral,49.44,North America,Basic,Churned,Yes,2025-04-17,No,
CUST1283,2024-08-27,Social Media,129.65,Europe,Basic,Active,No,,No,
CUST1231,2024-09-05,Organic Search,12.7,Europe,Enterprise,Active,No,,No,
CUST1242,2024-09-09,Social Media,87.13,North America,Enterprise,Churned,Yes,2025-03-09,No,
CUST1252,2024-09-10,Referral,53.77,MENA,Basic,Active,No,,No,
CUST1220,2024-09-12,Referral,41.23,Latin America,Pro,Churned,Yes,2024-10-12,No,
CUST1224,2024-09-12,Paid Search,115.49,Europe,Basic,Active,No,,No,
CUST1263,2024-09-12,Paid Search,50.35,North America,Basic,Churned,Yes,2025-03-12,No,
CUST1259,2024-09-18,Organic Search,24.44,North America,Basic,Active,No,,No,
CUST1286,2024-09-21,Paid Search,101.92,Europe,Enterprise,Active,Yes,2026-01-21,Yes,2026-03-21
CUST1299,2024-09-21,Paid Search,212.51,North America,Basic,Churned,Yes,2025-05-21,No,
CUST1241,2024-10-01,Organic Search,12.07,Latin America,Enterprise,Active,No,,No,
CUST1246,2024-10-04,Referral,34.98,North America,Pro,Active,No,,No,
CUST1239,2024-10-07,Paid Search,153.53,Asia Pacific,Basic,Active,No,,No,
CUST1228,2024-10-08,Social Media,63.06,MENA,Basic,Churned,Yes,2026-07-08,No,
CUST1214,2024-10-24,Referral,49.77,Latin America,Basic,Active,No,,No,
CUST1290,2024-10-25,Referral,30.66,MENA,Enterprise,Active,Yes,2025-03-25,Yes,2025-09-25
CUST1304,2024-10-28,Paid Search,204.41,North America,Pro,Active,No,,No,
CUST1248,2024-11-01,Paid Search,153.87,Europe,Basic,Active,No,,No,
CUST1289,2024-11-03,Paid Search,191.24,Asia Pacific,Basic,Churned,Yes,2025-06-03,No,
CUST1249,2024-11-04,Referral,66.48,Latin America,Basic,Active,Yes,2025-11-04,Yes,2026-05-04
CUST1236,2024-11-12,Paid Search,205.36,North America,Enterprise,Churned,Yes,2025-05-12,No,
CUST1251,2024-11-19,Referral,21.09,North America,Enterprise,Active,No,,No,
CUST1265,2024-11-21,Referral,36.21,MENA,Pro,Active,No,,No,
CUST1291,2024-11-21,Partnership,113.76,North America,Enterprise,Active,No,,No,
CUST1302,2024-11-21,Organic Search,14.4,North America,Pro,Active,No,,No,
CUST1260,2024-11-25,Organic Search,27.75,Latin America,Basic,Active,No,,No,
CUST1279,2024-11-26,Organic Search,20.7,Europe,Pro,Active,No,,No,
CUST1296,2024-12-02,Organic Search,13.07,Asia Pacific,Pro,Active,No,,No,
CUST1253,2024-12-04,Email Campaign,81.83,MENA,Pro,Churned,Yes,2025-11-04,No,
CUST1266,2024-12-09,Paid Search,130.09,North America,Pro,Active,No,,No,
CUST1212,2024-12-10,Paid Search,225.42,Asia Pacific,Basic,Active,No,,No,
CUST1229,2024-12-10,Social Media,72.12,North America,Basic,Active,No,,No,
CUST1269,2024-12-17,Paid Search,162.4,Europe,Basic,Churned,Yes,2025-08-17,No,
CUST1232,2024-12-18,Organic Search,22.16,MENA,Basic,Active,No,,No,
CUST1258,2024-12-24,Organic Search,12.92,North America,Basic,Active,No,,No,
CUST1247,2024-12-26,Email Campaign,42.88,MENA,Basic,Active,No,,No,
CUST1254,2024-12-28,Paid Search,221.3,Europe,Basic,Active,No,,No,
CUST1353,2025-01-03,Social Media,111.44,Europe,Pro,Active,No,,No,
