transaction_id,customer_id,transaction_date,transaction_type,plan_tier,amount
TXN000151,CUST1030,2023-05-20,Renewal,Enterprise,149
TXN000152,CUST1030,2023-06-20,Renewal,Enterprise,149
TXN000153,CUST1030,2023-07-20,Renewal,Enterprise,149
TXN000154,CUST1030,2023-08-20,Renewal,Enterprise,149
TXN000155,CUST1030,2023-09-20,Renewal,Enterprise,149
TXN000156,CUST1030,2023-10-20,Renewal,Enterprise,149
TXN000157,CUST1030,2023-11-20,Renewal,Enterprise,149
TXN000158,CUST1030,2023-12-20,Renewal,Enterprise,149
TXN000159,CUST1030,2024-01-20,Renewal,Enterprise,149
TXN000160,CUST1030,2024-02-20,Renewal,Enterprise,149
TXN000161,CUST1030,2024-03-20,Renewal,Enterprise,149
TXN000162,CUST1030,2024-04-20,Renewal,Enterprise,149
TXN000163,CUST1030,2024-05-20,Renewal,Enterprise,149
TXN000164,CUST1030,2024-06-20,Renewal,Enterprise,149
TXN000165,CUST1030,2024-07-20,Renewal,Enterprise,149
TXN000166,CUST1030,2024-08-20,Renewal,Enterprise,149
TXN000167,CUST1030,2024-09-20,Renewal,Enterprise,149
TXN000168,CUST1030,2024-10-20,Renewal,Enterprise,149
TXN000169,CUST1030,2024-11-20,Renewal,Enterprise,149
TXN000170,CUST1030,2024-12-20,Renewal,Enterprise,149
TXN000171,CUST1030,2025-01-20,Renewal,Enterprise,149
TXN000172,CUST1030,2025-02-20,Renewal,Enterprise,149
TXN000173,CUST1030,2025-03-20,Renewal,Enterprise,149
TXN000174,CUST1030,2025-04-20,Renewal,Enterprise,149
TXN000175,CUST1030,2025-05-20,Renewal,Enterprise,149
TXN000176,CUST1030,2025-06-20,Renewal,Enterprise,149
TXN000177,CUST1030,2025-07-20,Renewal,Enterprise,149
TXN000178,CUST1030,2025-08-20,Renewal,Enterprise,149
TXN000179,CUST1030,2025-09-20,Renewal,Enterprise,149
TXN000180,CUST1030,2025-10-20,Renewal,Enterprise,149
TXN000181,CUST1030,2025-11-20,Renewal,Enterprise,149
TXN000182,CUST1030,2025-12-20,Renewal,Enterprise,149
TXN000183,CUST1030,2026-01-20,Renewal,Enterprise,149
TXN000184,CUST1030,2026-02-20,Renewal,Enterprise,149
TXN000185,CUST1030,2026-03-20,Renewal,Enterprise,149
TXN000186,CUST1030,2026-04-20,Renewal,Enterprise,149
TXN000187,CUST1030,2026-05-20,Renewal,Enterprise,149
TXN000188,CUST1030,2026-06-20,Renewal,Enterprise,149
TXN000189,CUST1030,2026-07-20,Renewal,Enterprise,149
TXN000190,CUST1017,2020-02-07,New Subscription,Pro,59
TXN000191,CUST1017,2020-03-07,Renewal,Pro,59
TXN000192,CUST1017,2020-04-07,Renewal,Pro,59
TXN000193,CUST1017,2020-05-07,Renewal,Pro,59
TXN000194,CUST1017,2020-06-07,Renewal,Pro,59
TXN000195,CUST1017,2020-07-07,Renewal,Pro,59
TXN000196,CUST1017,2020-08-07,Renewal,Pro,59
TXN000197,CUST1017,2020-09-07,Renewal,Pro,59
TXN000198,CUST1017,2020-10-07,Renewal,Pro,59
TXN000199,CUST1017,2020-11-07,Renewal,Pro,59
TXN000200,CUST1017,2020-12-07,Upgrade,Enterprise,149
TXN000201,CUST1017,2021-01-07,Renewal,Enterprise,149
TXN000202,CUST1017,2021-02-07,Renewal,Enterprise,149
TXN000203,CUST1017,2021-03-07,Renewal,Enterprise,149
TXN000204,CUST1017,2021-04-07,Renewal,Enterprise,149
TXN000205,CUST1017,2021-05-07,Renewal,Enterprise,149
TXN000206,CUST1017,2021-06-07,Downgrade,Pro,59
TXN000207,CUST1017,2021-07-07,Renewal,Pro,59
TXN000208,CUST1017,2021-08-07,Renewal,Pro,59
TXN000209,CUST1017,2021-09-07,Renewal,Pro,59
TXN000210,CUST1017,2021-10-07,Renewal,Pro,59
TXN000211,CUST1017,2021-11-07,Renewal,Pro,59
TXN000212,CUST1017,2021-12-07,Renewal,Pro,59
TXN000213,CUST1017,2022-01-07,Renewal,Pro,59
TXN000214,CUST1017,2022-02-07,Renewal,Pro,59
TXN000215,CUST1017,2022-03-07,Renewal,Pro,59
TXN000216,CUST1017,2022-04-07,Renewal,Pro,59
TXN000217,CUST1017,2022-05-07,Renewal,Pro,59
TXN000218,CUST1017,2022-06-07,Renewal,Pro,59
TXN000219,CUST1017,2022-07-07,Renewal,Pro,59
TXN000220,CUST1017,2022-08-07,Renewal,Pro,59
TXN000221,CUST1017,2022-09-07,Renewal,Pro,59
TXN000222,CUST1017,2022-10-07,Renewal,Pro,59
TXN000223,CUST1017,2022-11-07,Renewal,Pro,59
TXN000224,CUST1017,2022-12-07,Renewal,Pro,59
TXN000225,CUST1017,2023-01-07,Renewal,Pro,59
TXN000226,CUST1017,2023-02-07,Renewal,Pro,59
TXN000227,CUST1017,2023-03-07,Renewal,Pro,59
TXN000228,CUST1017,2023-04-07,Renewal,Pro,59
TXN000229,CUST1017,2023-05-07,Renewal,Pro,59
TXN000230,CUST1017,2023-06-07,Renewal,Pro,59
TXN000231,CUST1017,2023-07-07,Renewal,Pro,59
TXN000232,CUST1017,2023-08-07,Renewal,Pro,59
TXN000233,CUST1017,2023-09-07,Renewal,Pro,59
TXN000234,CUST1017,2023-10-07,Renewal,Pro,59
TXN000235,CUST1017,2023-11-07,Renewal,Pro,59
TXN000236,CUST1017,2023-12-07,Renewal,Pro,59
TXN000237,CUST1017,2024-01-07,Renewal,Pro,59
TXN000238,CUST1017,2024-02-07,Renewal,Pro,59
TXN000239,CUST1017,2024-03-07,Renewal,Pro,59
TXN000240,CUST1017,2024-04-07,Renewal,Pro,59
TXN000241,CUST1017,2024-05-07,Renewal,Pro,59
TXN000242,CUST1017,2024-06-07,Renewal,Pro,59
TXN000243,CUST1017,2024-07-07,Renewal,Pro,59
TXN000244,CUST1017,2024-08-07,Renewal,Pro,59
TXN000245,CUST1017,2024-09-07,Renewal,Pro,59
TXN000246,CUST1017,2024-10-07,Renewal,Pro,59
TXN000247,CUST1017,2024-11-07,Renewal,Pro,59
TXN000248,CUST1017,2024-12-07,Renewal,Pro,59
TXN000249,CUST1017,2025-01-07,Renewal,Pro,59
TXN000250,CUST1017,2025-02-07,Renewal,Pro,59
TXN000251,CUST1017,2025-03-07,Renewal,Pro,59
TXN000252,CUST1017,2025-04-07,Renewal,Pro,59
TXN000253,CUST1017,2025-05-07,Renewal,Pro,59
TXN000254,CUST1017,2025-06-07,Renewal,Pro,59
TXN000255,CUST1017,2025-07-07,Renewal,Pro,59
TXN000256,CUST1017,2025-08-07,Renewal,Pro,59
TXN000257,CUST1017,2025-09-07,Renewal,Pro,59
TXN000258,CUST1017,2025-10-07,Renewal,Pro,59
TXN000259,CUST1017,2025-11-07,Renewal,Pro,59
TXN000260,CUST1017,2025-12-07,Renewal,Pro,59
TXN000261,CUST1017,2026-01-07,Renewal,Pro,59
TXN000262,CUST1017,2026-02-07,Renewal,Pro,59
TXN000263,CUST1017,2026-03-07,Renewal,Pro,59
TXN000264,CUST1017,2026-04-07,Upgrade,Enterprise,149
TXN000265,CUST1017,2026-05-07,Renewal,Enterprise,149
TXN000266,CUST1017,2026-06-07,Renewal,Enterprise,149
TXN000267,CUST1017,2026-07-07,Renewal,Enterprise,149
TXN000268,CUST1017,2026-08-07,Renewal,Enterprise,149
TXN000269,CUST1019,2020-03-09,New Subscription,Pro,59
TXN000270,CUST1019,2020-04-09,Renewal,Pro,59
TXN000271,CUST1019,2020-05-09,Renewal,Pro,59
TXN000272,CUST1019,2020-06-09,Renewal,Pro,59
TXN000273,CUST1019,2020-07-09,Renewal,Pro,59
TXN000274,CUST1019,2020-08-09,Renewal,Pro,59
TXN000275,CUST1019,2020-09-09,Renewal,Pro,59
TXN000276,CUST1019,2020-10-09,Renewal,Pro,59
TXN000277,CUST1019,2020-11-09,Cancellation,Pro,0
TXN000278,CUST1021,2020-03-17,New Subscription,Enterprise,149
TXN000279,CUST1021,2020-04-17,Renewal,Enterprise,149
TXN000280,CUST1021,2020-05-17,Renewal,Enterprise,149
TXN000281,CUST1021,2020-06-17,Renewal,Enterprise,149
TXN000282,CUST1021,2020-07-17,Renewal,Enterprise,149
TXN000283,CUST1021,2020-08-17,Renewal,Enterprise,149
TXN000284,CUST1021,2020-09-17,Renewal,Enterprise,149
TXN000285,CUST1021,2020-10-17,Renewal,Enterprise,149
TXN000286,CUST1021,2020-11-17,Renewal,Enterprise,149
TXN000287,CUST1021,2020-12-17,Renewal,Enterprise,149
TXN000288,CUST1021,2021-01-17,Renewal,Enterprise,149
TXN000289,CUST1021,2021-02-17,Renewal,Enterprise,149
TXN000290,CUST1021,2021-03-17,Renewal,Enterprise,149
TXN000291,CUST1021,2021-04-17,Renewal,Enterprise,149
TXN000292,CUST1021,2021-05-17,Renewal,Enterprise,149
TXN000293,CUST1021,2021-06-17,Renewal,Enterprise,149
TXN000294,CUST1021,2021-07-17,Renewal,Enterprise,149
TXN000295,CUST1021,2021-08-17,Renewal,Enterprise,149
TXN000296,CUST1021,2021-09-17,Renewal,Enterprise,149
TXN000297,CUST1021,2021-10-17,Renewal,Enterprise,149
TXN000298,CUST1021,2021-11-17,Renewal,Enterprise,149
TXN000299,CUST1021,2021-12-17,Renewal,Enterprise,149
TXN000300,CUST1021,2022-01-17,Renewal,Enterprise,149
TXN000301,CUST1021,2022-02-17,Renewal,Enterprise,149
TXN000302,CUST1021,2022-03-17,Renewal,Enterprise,149
TXN000303,CUST1021,2022-04-17,Renewal,Enterprise,149
TXN000304,CUST1021,2022-05-17,Downgrade,Pro,59
TXN000305,CUST1021,2022-06-17,Renewal,Pro,59
TXN000306,CUST1021,2022-07-17,Renewal,Pro,59
TXN000307,CUST1021,2022-08-17,Renewal,Pro,59
TXN000308,CUST1021,2022-09-17,Renewal,Pro,59
TXN000309,CUST1021,2022-10-17,Renewal,Pro,59
TXN000310,CUST1021,2022-11-17,Renewal,Pro,59
TXN000311,CUST1021,2022-12-17,Renewal,Pro,59
TXN000312,CUST1021,2023-01-17,Renewal,Pro,59
TXN000313,CUST1021,2023-02-17,Renewal,Pro,59
TXN000314,CUST1021,2023-03-17,Renewal,Pro,59
TXN000315,CUST1021,2023-04-17,Renewal,Pro,59
TXN000316,CUST1021,2023-05-17,Renewal,Pro,59
TXN000317,CUST1021,2023-06-17,Renewal,Pro,59
TXN000318,CUST1021,2023-07-17,Renewal,Pro,59
TXN000319,CUST1021,2023-08-17,Renewal,Pro,59
TXN000320,CUST1021,2023-09-17,Renewal,Pro,59
TXN000321,CUST1021,2023-10-17,Renewal,Pro,59
TXN000322,CUST1021,2023-11-17,Renewal,Pro,59
TXN000323,CUST1021,2023-12-17,Renewal,Pro,59
TXN000324,CUST1021,2024-01-17,Renewal,Pro,59
TXN000325,CUST1021,2024-02-17,Renewal,Pro,59
TXN000326,CUST1021,2024-03-17,Renewal,Pro,59
TXN000327,CUST1021,2024-04-17,Renewal,Pro,59
TXN000328,CUST1021,2024-05-17,Renewal,Pro,59
TXN000329,CUST1021,2024-06-17,Renewal,Pro,59
TXN000330,CUST1021,2024-07-17,Renewal,Pro,59
TXN000331,CUST1021,2024-08-17,Renewal,Pro,59
TXN000332,CUST1021,2024-09-17,Renewal,Pro,59
TXN000333,CUST1021,2024-10-17,Renewal,Pro,59
TXN000334,CUST1021,2024-11-17,Renewal,Pro,59
TXN000335,CUST1021,2024-12-17,Renewal,Pro,59
TXN000336,CUST1021,2025-01-17,Renewal,Pro,59
TXN000337,CUST1021,2025-02-17,Renewal,Pro,59
TXN000338,CUST1021,2025-03-17,Cancellation,Pro,0
TXN000339,CUST1022,2020-03-21,New Subscription,Pro,59
TXN000340,CUST1022,2020-04-21,Renewal,Pro,59
TXN000341,CUST1022,2020-05-21,Renewal,Pro,59
TXN000342,CUST1022,2020-06-21,Renewal,Pro,59
TXN000343,CUST1022,2020-07-21,Renewal,Pro,59
TXN000344,CUST1022,2020-08-21,Renewal,Pro,59
TXN000345,CUST1022,2020-09-21,Renewal,Pro,59
TXN000346,CUST1022,2020-10-21,Renewal,Pro,59
TXN000347,CUST1022,2020-11-21,Renewal,Pro,59
TXN000348,CUST1022,2020-12-21,Renewal,Pro,59
TXN000349,CUST1022,2021-01-21,Renewal,Pro,59
TXN000350,CUST1022,2021-02-21,Renewal,Pro,59
TXN000351,CUST1022,2021-03-21,Renewal,Pro,59
TXN000352,CUST1022,2021-04-21,Renewal,Pro,59
TXN000353,CUST1022,2021-05-21,Renewal,Pro,59
TXN000354,CUST1022,2021-06-21,Renewal,Pro,59
TXN000355,CUST1022,2021-07-21,Renewal,Pro,59
TXN000356,CUST1022,2021-08-21,Renewal,Pro,59
TXN000357,CUST1022,2021-09-21,Renewal,Pro,59
TXN000358,CUST1022,2021-10-21,Renewal,Pro,59
TXN000359,CUST1022,2021-11-21,Renewal,Pro,59
TXN000360,CUST1022,2021-12-21,Renewal,Pro,59
TXN000361,CUST1022,2022-01-21,Renewal,Pro,59
TXN000362,CUST1022,2022-02-21,Renewal,Pro,59
TXN000363,CUST1022,2022-03-21,Renewal,Pro,59
TXN000364,CUST1022,2022-04-21,Renewal,Pro,59
TXN000365,CUST1022,2022-05-21,Renewal,Pro,59
TXN000366,CUST1022,2022-06-21,Renewal,Pro,59
TXN000367,CUST1022,2022-07-21,Renewal,Pro,59
TXN000368,CUST1022,2022-08-21,Renewal,Pro,59
TXN000369,CUST1022,2022-09-21,Renewal,Pro,59
TXN000370,CUST1022,2022-10-21,Renewal,Pro,59
TXN000371,CUST1022,2022-11-21,Renewal,Pro,59
TXN000372,CUST1022,2022-12-21,Renewal,Pro,59
TXN000373,CUST1022,2023-01-21,Renewal,Pro,59
TXN000374,CUST1022,2023-02-21,Renewal,Pro,59
TXN000375,CUST1022,2023-03-21,Renewal,Pro,59
TXN000376,CUST1022,2023-04-21,Renewal,Pro,59
TXN000377,CUST1022,2023-05-21,Renewal,Pro,59
TXN000378,CUST1022,2023-06-21,Renewal,Pro,59
TXN000379,CUST1022,2023-07-21,Renewal,Pro,59
TXN000380,CUST1022,2023-08-21,Renewal,Pro,59
TXN000381,CUST1022,2023-09-21,Renewal,Pro,59
TXN000382,CUST1022,2023-10-21,Renewal,Pro,59
TXN000383,CUST1022,2023-11-21,Renewal,Pro,59
TXN000384,CUST1022,2023-12-21,Renewal,Pro,59
TXN000385,CUST1022,2024-01-21,Renewal,Pro,59
TXN000386,CUST1022,2024-02-21,Renewal,Pro,59
TXN000387,CUST1022,2024-03-21,Renewal,Pro,59
TXN000388,CUST1022,2024-04-21,Renewal,Pro,59
TXN000389,CUST1022,2024-05-21,Renewal,Pro,59
TXN000390,CUST1022,2024-06-21,Renewal,Pro,59
TXN000391,CUST1022,2024-07-21,Renewal,Pro,59
TXN000392,CUST1022,2024-08-21,Renewal,Pro,59
TXN000393,CUST1022,2024-09-21,Renewal,Pro,59
TXN000394,CUST1022,2024-10-21,Renewal,Pro,59
TXN000395,CUST1022,2024-11-21,Renewal,Pro,59
TXN000396,CUST1022,2024-12-21,Renewal,Pro,59
TXN000397,CUST1022,2025-01-21,Renewal,Pro,59
TXN000398,CUST1022,2025-02-21,Renewal,Pro,59
TXN000399,CUST1022,2025-03-21,Renewal,Pro,59
TXN000400,CUST1022,2025-04-21,Renewal,Pro,59
TXN000401,CUST1022,2025-05-21,Renewal,Pro,59
TXN000402,CUST1022,2025-06-21,Renewal,Pro,59
TXN000403,CUST1022,2025-07-21,Renewal,Pro,59
TXN000404,CUST1022,2025-08-21,Renewal,Pro,59
TXN000405,CUST1022,2025-09-21,Renewal,Pro,59
TXN000406,CUST1022,2025-10-21,Renewal,Pro,59
TXN000407,CUST1022,2025-11-21,Renewal,Pro,59
TXN000408,CUST1022,2025-12-21,Renewal,Pro,59
TXN000409,CUST1022,2026-01-21,Renewal,Pro,59
TXN000410,CUST1022,2026-02-21,Renewal,Pro,59
TXN000411,CUST1022,2026-03-21,Renewal,Pro,59
TXN000412,CUST1022,2026-04-21,Renewal,Pro,59
TXN000413,CUST1022,2026-05-21,Renewal,Pro,59
TXN000414,CUST1022,2026-06-21,Renewal,Pro,59
TXN000415,CUST1022,2026-07-21,Renewal,Pro,59
TXN000416,CUST1006,2020-03-23,New Subscription,Basic,29
TXN000417,CUST1006,2020-04-23,Renewal,Basic,29
TXN000418,CUST1006,2020-05-23,Renewal,Basic,29
TXN000419,CUST1006,2020-06-23,Upgrade,Pro,59
TXN000420,CUST1006,2020-07-23,Renewal,Pro,59
TXN000421,CUST1006,2020-08-23,Renewal,Pro,59
TXN000422,CUST1006,2020-09-23,Renewal,Pro,59
TXN000423,CUST1006,2020-10-23,Renewal,Pro,59
TXN000424,CUST1006,2020-11-23,Renewal,Pro,59
TXN000425,CUST1006,2020-12-23,Renewal,Pro,59
TXN000426,CUST1006,2021-01-23,Renewal,Pro,59
TXN000427,CUST1006,2021-02-23,Renewal,Pro,59
TXN000428,CUST1006,2021-03-23,Renewal,Pro,59
TXN000429,CUST1006,2021-04-23,Renewal,Pro,59
TXN000430,CUST1006,2021-05-23,Renewal,Pro,59
TXN000431,CUST1006,2021-06-23,Renewal,Pro,59
TXN000432,CUST1006,2021-07-23,Renewal,Pro,59
TXN000433,CUST1006,2021-08-23,Renewal,Pro,59
TXN000434,CUST1006,2021-09-23,Cancellation,Pro,0
TXN000435,CUST1005,2020-04-15,New Subscription,Basic,29
TXN000436,CUST1005,2020-05-15,Renewal,Basic,29
TXN000437,CUST1005,2020-06-15,Renewal,Basic,29
TXN000438,CUST1005,2020-07-15,Renewal,Basic,29
TXN000439,CUST1005,2020-08-15,Renewal,Basic,29
TXN000440,CUST1005,2020-09-15,Renewal,Basic,29
TXN000441,CUST1005,2020-10-15,Renewal,Basic,29
TXN000442,CUST1005,2020-11-15,Renewal,Basic,29
TXN000443,CUST1005,2020-12-15,Renewal,Basic,29
TXN000444,CUST1005,2021-01-15,Renewal,Basic,29
TXN000445,CUST1005,2021-02-15,Renewal,Basic,29
TXN000446,CUST1005,2021-03-15,Renewal,Basic,29
TXN000447,CUST1005,2021-04-15,Renewal,Basic,29
TXN000448,CUST1005,2021-05-15,Renewal,Basic,29
TXN000449,CUST1005,2021-06-15,Renewal,Basic,29
TXN000450,CUST1005,2021-07-15,Renewal,Basic,29
TXN000451,CUST1005,2021-08-15,Renewal,Basic,29
TXN000452,CUST1005,2021-09-15,Renewal,Basic,29
TXN000453,CUST1005,2021-10-15,Renewal,Basic,29
TXN000454,CUST1005,2021-11-15,Renewal,Basic,29
TXN000455,CUST1005,2021-12-15,Renewal,Basic,29
TXN000456,CUST1005,2022-01-15,Renewal,Basic,29
